"","BillTrack.Link","State.Link"
"155","https://www.billtrack50.com/billdetail/1453274","http://kslegislature.org/li/b2021_22/measures/documents/sb496_01_0000.pdf"
"156","https://www.billtrack50.com/billdetail/1453274","http://kslegislature.org/li/b2021_22/measures/documents/sb496_00_0000.pdf"
"157","https://www.billtrack50.com/billdetail/1456490","http://kslegislature.org/li/b2021_22/measures/documents/sb515_00_0000.pdf"
"158","https://www.billtrack50.com/billdetail/1410818","https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb14/orig_bill.pdf"
"159","https://www.billtrack50.com/billdetail/1410758","https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb23/orig_bill.pdf"
"160","https://www.billtrack50.com/billdetail/1414065","https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb253/orig_bill.pdf"
"161","https://www.billtrack50.com/billdetail/1453789","https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb487/orig_bill.pdf"
"162","https://www.billtrack50.com/billdetail/1455448","https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb495/orig_bill.pdf"
"163","https://www.billtrack50.com/billdetail/1461620","https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb570/orig_bill.pdf"
"164","https://www.billtrack50.com/billdetail/1416206","https://apps.legislature.ky.gov/law/acts/22RS/documents/0198.pdf"
"165","https://www.billtrack50.com/billdetail/1416206","https://apps.legislature.ky.gov/recorddocuments/bill/22RS/sb83/bill.pdf"
"166","https://www.billtrack50.com/billdetail/1416206","https://apps.legislature.ky.gov/recorddocuments/bill/22RS/sb83/orig_bill.pdf"
"167","https://www.billtrack50.com/billdetail/1416378","https://apps.legislature.ky.gov/recorddocuments/bill/22RS/sb84/orig_bill.pdf"
"168","https://www.billtrack50.com/billdetail/1446670","https://mgaleg.maryland.gov/2022RS/bills/hb/hb0757f.pdf"
"169","https://www.billtrack50.com/billdetail/1461851","http://www.legislature.mi.gov/documents/2021-2022/billengrossed/House/pdf/2022-HEBS-5795.pdf"
"170","https://www.billtrack50.com/billdetail/1461851","http://www.legislature.mi.gov/documents/2021-2022/billengrossed/House/pdf/2022-HEBH-5795.pdf"
"171","https://www.billtrack50.com/billdetail/1461851","http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/pdf/2022-HIB-5795.pdf"
"172","https://www.billtrack50.com/billdetail/1342111","http://www.legislature.mi.gov/documents/2021-2022/billintroduced/Senate/pdf/2021-SIB-0218.pdf"
"173","https://www.billtrack50.com/billdetail/1375384","http://www.legislature.mi.gov/documents/2021-2022/billintroduced/Senate/pdf/2021-SIB-0460.pdf"
"174","https://www.billtrack50.com/billdetail/1292512","https://www.revisor.mn.gov/bills/text.php?number=HF350&version=0&session=ls92&session_year=2021&session_number=0&format=pdf"
"175","https://www.billtrack50.com/billdetail/1292427","https://www.revisor.mn.gov/bills/text.php?number=HF352&version=0&session=ls92&session_year=2021&session_number=0&format=pdf"
"176","https://www.billtrack50.com/billdetail/1330021","https://www.revisor.mn.gov/bills/text.php?number=HF1657&version=0&session=ls92&session_year=2021&session_number=0&format=pdf"
"177","https://www.billtrack50.com/billdetail/1463268","https://www.revisor.mn.gov/bills/text.php?number=HF3843&version=0&session=ls92&session_year=2022&session_number=0&format=pdf"
"178","https://www.billtrack50.com/billdetail/1471631","https://www.revisor.mn.gov/bills/text.php?number=HF4282&version=0&session=ls92&session_year=2022&session_number=0&format=pdf"
"179","https://www.billtrack50.com/billdetail/1481303","https://www.revisor.mn.gov/bills/text.php?number=HF4827&version=0&session=ls92&session_year=2022&session_number=0&format=pdf"
"180","https://www.billtrack50.com/billdetail/1269994","https://www.revisor.mn.gov/bills/text.php?number=SF96&version=0&session=ls92&session_year=2021&session_number=0&format=pdf"
"181","https://www.billtrack50.com/billdetail/1411729","http://billstatus.ls.state.ms.us/2022/pdf/history/HB/HB0437.xml"
"182","https://www.billtrack50.com/billdetail/1411729","http://billstatus.ls.state.ms.us/documents/2022/pdf/HB/0400-0499/HB0437IN.pdf"
"183","https://www.billtrack50.com/billdetail/1430344","http://billstatus.ls.state.ms.us/2022/pdf/history/HB/HB1099.xml"
"184","https://www.billtrack50.com/billdetail/1430344","http://billstatus.ls.state.ms.us/documents/2022/pdf/HB/1000-1099/HB1099PS.pdf"
"185","https://www.billtrack50.com/billdetail/1430344","http://billstatus.ls.state.ms.us/documents/2022/pdf/HB/1000-1099/HB1099CS.pdf"
"186","https://www.billtrack50.com/billdetail/1430344","http://billstatus.ls.state.ms.us/documents/2022/pdf/HB/1000-1099/HB1099IN.pdf"
"187","https://www.billtrack50.com/billdetail/1440013","http://billstatus.ls.state.ms.us/2022/pdf/history/HB/HB1491.xml"
"188","https://www.billtrack50.com/billdetail/1440013","http://billstatus.ls.state.ms.us/documents/2022/pdf/HB/1400-1499/HB1491IN.pdf"
"189","https://www.billtrack50.com/billdetail/1439997","http://billstatus.ls.state.ms.us/2022/pdf/history/HB/HB1492.xml"
"190","https://www.billtrack50.com/billdetail/1439997","http://billstatus.ls.state.ms.us/documents/2022/pdf/HB/1400-1499/HB1492IN.pdf"
"191","https://www.billtrack50.com/billdetail/1440155","http://billstatus.ls.state.ms.us/2022/pdf/history/HB/HB1493.xml"
"192","https://www.billtrack50.com/billdetail/1440155","http://billstatus.ls.state.ms.us/documents/2022/pdf/HB/1400-1499/HB1493IN.pdf"
"193","https://www.billtrack50.com/billdetail/1426874","http://billstatus.ls.state.ms.us/2022/pdf/history/HC/HC0022.xml"
"194","https://www.billtrack50.com/billdetail/1426874","http://billstatus.ls.state.ms.us/documents/2022/pdf/HC/HC0022IN.pdf"
"195","https://www.billtrack50.com/billdetail/1427235","http://billstatus.ls.state.ms.us/2022/pdf/history/HR/HR0010.xml"
"196","https://www.billtrack50.com/billdetail/1427235","http://billstatus.ls.state.ms.us/documents/2022/pdf/HR/HR0010IN.pdf"
"197","https://www.billtrack50.com/billdetail/1418973","http://billstatus.ls.state.ms.us/2022/pdf/history/SB/SB2111.xml"
"198","https://www.billtrack50.com/billdetail/1418973","http://billstatus.ls.state.ms.us/documents/2022/pdf/SB/2100-2199/SB2111IN.pdf"
"199","https://www.billtrack50.com/billdetail/1419312","http://billstatus.ls.state.ms.us/2022/pdf/history/SB/SB2113.xml"
"200","https://www.billtrack50.com/billdetail/1419312","http://billstatus.ls.state.ms.us/documents/2022/pdf/SB/2100-2199/SB2113SG.pdf"
"201","https://www.billtrack50.com/billdetail/1419312","http://billstatus.ls.state.ms.us/documents/2022/pdf/SB/2100-2199/SB2113PS.pdf"
"202","https://www.billtrack50.com/billdetail/1419312","http://billstatus.ls.state.ms.us/documents/2022/pdf/SB/2100-2199/SB2113CS.pdf"
"203","https://www.billtrack50.com/billdetail/1419312","http://billstatus.ls.state.ms.us/documents/2022/pdf/SB/2100-2199/SB2113IN.pdf"
"204","https://www.billtrack50.com/billdetail/1423887","http://billstatus.ls.state.ms.us/2022/pdf/history/SB/SB2171.xml"
"205","https://www.billtrack50.com/billdetail/1423887","http://billstatus.ls.state.ms.us/documents/2022/pdf/SB/2100-2199/SB2171IN.pdf"
"206","https://www.billtrack50.com/billdetail/1425472","http://billstatus.ls.state.ms.us/2022/pdf/history/SB/SB2356.xml"
"207","https://www.billtrack50.com/billdetail/1425472","http://billstatus.ls.state.ms.us/documents/2022/pdf/SB/2300-2399/SB2356CS.pdf"
"208","https://www.billtrack50.com/billdetail/1425472","http://billstatus.ls.state.ms.us/documents/2022/pdf/SB/2300-2399/SB2356IN.pdf"
"209","https://www.billtrack50.com/billdetail/1427846","http://billstatus.ls.state.ms.us/2022/pdf/history/SB/SB2679.xml"
"210","https://www.billtrack50.com/billdetail/1427846","http://billstatus.ls.state.ms.us/documents/2022/pdf/SB/2600-2699/SB2679IN.pdf"
"211","https://www.billtrack50.com/billdetail/1427875","http://billstatus.ls.state.ms.us/2022/pdf/history/SB/SB2728.xml"
"212","https://www.billtrack50.com/billdetail/1427875","http://billstatus.ls.state.ms.us/documents/2022/pdf/SB/2700-2799/SB2728IN.pdf"
"213","https://www.billtrack50.com/billdetail/1403755","https://www.house.mo.gov/billtracking/bills221/hlrbillspdf/4071H.01I.pdf"
